# AutoML Vision Training Data CSV Template
# Format: IMAGE_URI,LABEL,XMIN,YMIN,XMAX,YMAX
# 
# LABEL options for Zimbabwe Product Recognition:
# - brand (e.g., "Hullets", "Mazoe", "Coca Cola", "Dairibord")
# - product_name (e.g., "Brown Sugar", "Orange Crush", "Classic", "Milk")
# - size (e.g., "2kg", "500ml", "1L", "2L")
# - category (e.g., "Staples", "Beverages", "Dairy", "Cooking_Oils")
#
# Coordinates are normalized (0.0 to 1.0)
# XMIN,YMIN = top-left corner, XMAX,YMAX = bottom-right corner
#
# Example entries for Hullets Brown Sugar 2kg:

gs://deve-01-automl-training/images/staples/hullets_brown_sugar_2kg_001.jpg,brand,0.1,0.1,0.4,0.3
gs://deve-01-automl-training/images/staples/hullets_brown_sugar_2kg_001.jpg,product_name,0.1,0.4,0.6,0.6
gs://deve-01-automl-training/images/staples/hullets_brown_sugar_2kg_001.jpg,size,0.7,0.1,0.9,0.2
gs://deve-01-automl-training/images/staples/hullets_brown_sugar_2kg_001.jpg,category,0.1,0.7,0.5,0.9

# Example entries for Mazoe Orange 2L:
gs://deve-01-automl-training/images/beverages/mazoe_orange_2l_001.jpg,brand,0.2,0.1,0.5,0.3
gs://deve-01-automl-training/images/beverages/mazoe_orange_2l_001.jpg,product_name,0.2,0.4,0.7,0.6
gs://deve-01-automl-training/images/beverages/mazoe_orange_2l_001.jpg,size,0.7,0.2,0.9,0.3
gs://deve-01-automl-training/images/beverages/mazoe_orange_2l_001.jpg,category,0.1,0.7,0.5,0.9

# Add your training data below:
# gs://deve-01-automl-training/images/[category]/[filename],label_type,xmin,ymin,xmax,ymax
